spotify_id,artist,name,popularity,duration_ms,explicit,source_playlist,mood
4LnLPZ8gTTQeKHhc6oVuIt,Stellar Stones,Holding on to You,67,170000,False,LICENTA_RELAX,relax
7zTRBQY1gHajCzXVt7SuEG,Warmth of Muba,Resounding Hymn,67,149000,False,LICENTA_RELAX,relax
46DNp5QTdfghwXQRZiNoWA,Ursae Minoris,Samudaya,69,149858,False,LICENTA_RELAX,relax
7ssheUnbD7wyxWAlfaU7y3,Mystisse,Nebel,65,165374,False,LICENTA_RELAX,relax
19kFQ1yaNQcULBHwYqGN5o,Lasant,Prepere for Landing,70,161500,False,LICENTA_RELAX,relax
4JepoLsttGu6IKGpbkZ1wC,Koma,Sofolix,64,142107,False,LICENTA_RELAX,relax
1bbvr6vVPiXvwVP82x4jDo,Oliver Ólafsson,Gaia,64,148200,False,LICENTA_RELAX,relax
0IPrRmJtfhKFMSzPfKIO0z,EMIKO,Timeless,64,142500,False,LICENTA_RELAX,relax
4tgl15lyP8zuvWz7wqbbyW,Obdormiam,lighter,63,152000,False,LICENTA_RELAX,relax
7AooP6MplcgFyNEV2eHvpi,Ziraphine,Meridian,64,145500,False,LICENTA_RELAX,relax
1OibVbUVn9ZRpPZAP2kjhg,Adrian Eden,Beleza,62,152739,False,LICENTA_RELAX,relax
1Aw3fKXwqgNoydu6AAcVRI,Prodigieux,Align,62,164902,False,LICENTA_RELAX,relax
6DN0rnPxkruABRJuNRnEIg,Moonhollow,Vila,63,165423,False,LICENTA_RELAX,relax
4hM6zZNaebCwcyhon3lemg,Silvender,Esoteric,62,153000,False,LICENTA_RELAX,relax
5iFLdPssqJfdh28B28BMc1,Midnight Mind,Polygon,62,149346,False,LICENTA_RELAX,relax
7J60faSsc1RtsxuaVTz12h,Lavona,Midday,63,140155,False,LICENTA_RELAX,relax
6LCYzaAK7Pn0kF8mL0fFXA,Forsintha,Nocturnal,62,149146,False,LICENTA_RELAX,relax
6FNB2HTHmWL04ZQryx1dLL,Felix Brightwood,Into the mist,61,175818,False,LICENTA_RELAX,relax
2flmRWnXEUYIPFRboLBk80,Cashmere Cove,Withheld,60,130161,False,LICENTA_RELAX,relax
4M40yDtdQpuiRZddh6cYOu,Restful Minds,Slumber Tide,60,174333,False,LICENTA_RELAX,relax
1lz3cwq320jLXQplcZF0HZ,Foora,West coast sunset,61,172647,False,LICENTA_RELAX,relax
